artista,título,letra,gênero
Seu Jorge,Mina Do Condominio,"Tô namorando aquela mina
Mas não sei se ela me namora
Mina maneira do condomínio
Lá do bairro onde eu moro(BIS)
Seu cabelo me alucina

Sua boca me devora

Sua voz me ilumina

Seu olhar me apavora

Me perdi no seu sorriso

Nem preciso me encontrar

Não me mostre o paraíso

Que se eu for, não vou voltar

Pois eu vou

Eu digo ""oi"" ela nem nada

Passa na minha calçada

Dou bom dia ela nem liga

Se ela chega eu paro tudo

Se ela passa eu fico todo

Se vem vindo eu faço figa

eu mando um beijo ela não pega

pisco olho ela se nega

Faço pose ela não vê

Jogo charme ela ignora

Chego junto ela sai fora

Eu escrevo ela não lê



Minha mina

Minha amiga

Minha namorada

Minha gata

Minha sina

Do meu condomínio

Minha musa

Minha vida

Minha Monalisa

Minha Vênus

Minha deusa

Quero seu fascínio (BIS)",MPB/samba/soul
Seu Jorge,Burguesinha,"Vai no cabeleireiro
No esteticista
Malha o dia inteiro
Vida de artista
Saca dinheiro

Vai de motorista

Com seu carro esporte

Vai zoar na pista



Final de semana

Na casa de praia

Só gastando grana

Na maior gandaia

Vai pra balada

Dança bate estaca

Com a sua tribo

Até de madrugada



Burguesinha, burguesinha, burguesinha, burguesinha, burguesinha

Só no filé

Burguesinha, burguesinha, burguesinha, burguesinha, burguesinha

Tem o que quer

Burguesinha, burguesinha, burguesinha, burguesinha, burguesinha

No croissant

Burguesinha, burguesinha, burguesinha, burguesinha, burguesinha

Suquinho de maçã

Burguesinha, burguesinha, burguesinha, burguesinha",MPB/samba/soul
Seu Jorge,Carolina,"Carolina é uma menina bem difícil de esquecer
Andar bonito e um brilho no olhar
Tem um jeito adolescente que me faz enlouquecer
E um molejo que não vou te enganar
Maravilha feminina, meu docinho de pavê
Inteligente ela é muito sensual

Eu te confesso que estou apaixonado por você



O Carolina isso é muito natural

Carolina eu preciso de você

Carolina não vou suportar não te ver

Carolina eu preciso te falar

Carolina eu vou amar você



De segunda a segunda eu fico louco pra te ver

Quando eu te ligo você quase nunca está

Isso era outra coisa que eu queria te dizer

não temos tempo então melhor deixar pra lá

a princípio no Domingo o que você quer fazer

faça um pedido que eu irei realizar

olha aí amigo eu digo que ela só me dá prazer

Essa mina Carolina é de abalar



Ô Carolina eu preciso de você

Ô Carolina não vou suportar não te ver

Ô Carolina eu preciso te falar

Ô Carolina eu vou amar você

Carolina, Carolina



Carolina, preciso te encontrar

Carolina, me sinto muito só

Carolina, preciso te dizer

Ô Carolina eu só quero amar você

Carol, Carol, Carol...",MPB/samba/soul
Djavan,Oceano,"Assim
Que o día amanheceu
Lá no mar alto da paixão
Dava pra ver o tempo ruir
Cadê você? Que solidão!
Esquecera de mim



Enfim

De tudo que há na terra

Não há nada em lugar nenhum

Que vá crescer sem voce chegar

Longe de ti tudo parou

Ninguém sabe o que eu sofri



Amar é um deserto

E seus temores

Vida que vai na sela

Dessas dores

Não sabe voltar

Me dá teu calor



Vem me fazer feliz

Porque eu te amo

Você deságua em mim

E eu oceano

Esqueço que amar

é quase uma dor

Só sei

Viver

Se for

Por você",MPB
Djavan,Flor De Lis,"Valei-me, Deus!
é o fim do nosso amor
Perdoa, por favor
Eu sei que o erro aconteceu
Mas não sei o que fez
Tudo mudar de vez

Onde foi que eu errei?

Eu só sei que amei,

Que amei, que amei, que amei



Será talvez

Que minha ilusão

Foi dar meu coração

Com toda força

Pra essa moça

Me fazer feliz

E o destino não quis

Me ver como raiz

De uma flor de lis



E foi assim que eu vi

Nosso amor na poeira,

Poeira

Morto na beleza fria de Maria



E o meu jardim da vida

Ressecou, morreu

Do pé que brotou Maria

Nem margarida nasceu



E o meu jardim da vida

Ressecou, morreu

Do pé que brotou Maria

Nem margarida nasceu",MPB
Djavan,Eu Te Devoro,"Teus sinais
Me confundem da cabeça aos pés
Mas por dentro eu te devoro
Teu olhar
Não me diz exato quem tu és
Mesmo assim eu te devoro



Te devoraria a qualquer preço

Porque te ignoro ou te conheço

Quando chove ou quando faz frio

Noutro plano

Te devoraria tal Caetano

A Leonardo Di Caprio



É um milagre

Tudo que Deus criou

Pensando em você

Fez a via-láctea

Fez os dinossauros

Sem pensar em nada

Fez a minha vida

E te deu



Sem contar os dias

Que me faz morrer

Sem saber de ti

Jogado à Solidão

Mas se quer saber

Se eu quero outra vida

Não! Não!



Teus sinais

Me confundem da cabeça aos pés

Mas por dentro eu te devoro

Teu olhar

Não me diz exato quem tu és

Mesmo assim eu te devoro



Te devoraria a qualquer preço

Porque te ignoro ou te conheço

Quando chove ou quando faz frio

Noutro plano

Te devoraria tal Caetano

A Leonardo Di Caprio



É um milagre

Tudo que Deus criou

Pensando em você

Fez a via-láctea

Fez os dinossauros

Sem pensar em nada

Fez a minha vida

E te deu



Sem contar os dias

Que me faz morrer

Sem saber de ti

Jogado à Solidão

Mas se quer saber

Se eu quero outra vida

Não! Não!



Eu quero mesmo é viver

Pra esperar, esperar

Devorar você



Eu quero mesmo é viver

Pra esperar, esperar

Devorar você



Viver, viver

Pra esperar você

Quero viver

Pra esperar você

Quero esperar você",MPB
Djavan,Se,"Você disse que n?o sabe se não
Mas também não tem certeza que sim
Quer saber?
Quando é assim
Deixa vir do coração
Você sabe que eu só penso em você

Você diz que vive pensando em mim

Pode ser

Se é assim

Você tem que largar a mão do não

Soltar essa louca, arder de paixão

Não há como doer pra decidir

Só dizer sim ou não

Mas você adora um se...

Eu levo a sério mas você disfarça

Você me diz á  beça e eu nessa de horror

E me remete ao frio que vem lá do Sul

Insiste em zero a zero e eu quero um a um

Sei lá o que te dá, não quer meu calor

São Jorge, por favor, me empresta o dragão

Mais fácil aprender japonês em Braille

Do que você decidir se dá ou não",MPB
Djavan,Sina,"Pai e mãe, ouro de mina
Coração, desejo e sina
Tudo mais, pura rotina, jazz
Tocarei seu nome pra poder falar de amor
Minha princesa, art-nouveau

Da natureza, tudo o mais

Pura beleza, jazz



A luz de um grande prazer

É irremediável neon

Quando o grito do prazer

Açoitar o ar, réveillon



O luar, estrela do mar

O sol e o dom

Quiçá, um dia, a fúria desse front

Virá lapidar o sonho

Até gerar o som

Como querer Caetanear

O que há de bom",MPB
Djavan,Um Amor Puro,"O que há dentro do meu coração
Eu tenho guardado pra te dar
E todas as horas que o tempo
Tem pra me conceder
São tuas até morrer

E a tua história, eu não sei

Mas me diga só o que for bom

Um amor tão puro que ainda nem sabe

A força que tem

é teu e de mais ninguém



Te adoro em tudo, tudo, tudo

Quero mais que tudo, tudo, tudo

Te amar sem limites

Viver uma grande história



Aqui ou noutro lugar

Que pode ser feio ou bonito

Se nós estivermos juntos

Haverá um céu azul



Um amor puro

Não sabe a força que tem

Meu amor eu juro

Ser teu e de mais ninguém

Um amor puro",MPB
Jorge Ben Jor,Pais Tropical,"Moro num país tropical
Abençoado por Deus
E bonito por natureza (mas que beleza)
Em fevereiro (em fevereiro)
Tem carnaval (tem carnaval)
Eu tenho um fusca e um violão

Sou Flamengo, tenho uma nêga chamada Tereza



Sambaby, Sambaby

Sou um menino de mentalidade mediana

(Pois é)

Mas assim mesmo, feliz da vida

Pois eu não devo nada a ninguém

(Pois é)

Pois eu sou feliz

Muito feliz comigo mesmo



Moro num país tropical

Abençoado por Deus

E bonito por natureza (mas que beleza)

Em fevereiro (em fevereiro)

Tem carnaval (tem carnaval)

Eu tenho um fusca e um violão

Sou Flamengo, tenho uma nêga chamada Tereza



Sambaby, Sambaby

Eu posso não ser um band leader

(Pois é)

Mas assim mesmo lá em casa

Todos meus amigos, meus camaradinhas me respeitam

(Pois é)

Essa é a razão da simpatia

Do poder, do algo mais e da alegria



Moro num país tropical

Abençoado por Deus

E bonito por natureza (mas que beleza)

Em fevereiro (em fevereiro)

Tem carnaval (tem carnaval)

Eu tenho um fusca e um violão

Sou Flamengo, tenho uma nêga chamada Tereza



Mó num pá tropi

Abençoá por De

E boni por naturê (mas que belê)

Em feverê (em feverê)

Tem carná (tem carná)

Eu tenho um fu e um viô

Sou Flamê, tenho uma nê chamá Terê

Sou Flamê, tenho uma nê chamá Terê

Eu sou Flamê, tenho uma nê chamá Terê

Eu sou Flamê, tenho uma nê chamá Terê

Eu sou Flamê, tenho uma nê chamá Terê

Do meu Brasil



Moro num país tropical

Abençoado por Deus

E bonito por natureza (mas que beleza)

Em fevereiro (em fevereiro)

Tem carnaval (tem carnaval)

Eu tenho um fusca e um violão

Sou Flamengo, tenho uma nêga chamada Tereza



A cuiquinha, a cuiquinha!



Moro num país tropical (bibi)

Abençoado por Deus

E bonito por natureza (esse ""bibi"" foi o bicampeão mundial)

Em fevereiro (em fevereiro)

Tem carnaval (tem carnaval)

Eu tenho um fusca e um violão

Sou Flamengo, tenho uma nêga chamada Tereza



Moro num país tropical

Abençoado por Deus

E bonito por natureza (mas que beleza)

Em fevereiro (em fevereiro)

Tem carnaval (tem carnaval)

Eu tenho um fusca e um violão

Sou Flamengo e tenho uma nêga chamada Tereza

Oh, sou Flamengo e tenho uma nêga chamada Tereza

Sou Flamengo e tenho uma nêga chamada Tereza (bye-bye)

Sou Flamengo e tenho uma nêga chamada Tereza (eu sou Flamengo)

Sou Flamengo e tenho uma nêga chamada Tereza (e tenho uma nêga chamada Tereza)

Sou Flamengo e tenho uma nêga chamada Tereza (e viva o Flamengo, e viva minha nêga Tereza)

Sou Flamengo e tenho uma nêga chamada Tereza (e viva o Brasil, e viva...)",MPB
Jorge Ben Jor,Filho Maravilha,"E novamente ele chegou com inspiração
Com muito amor, com emoção, com explosão e gol
Sacudindo a torcida aos 33 minutos do segundo tempo
Depois de fazer uma jogada celestial em gol
Tabelou, driblou dois zagueiros

Deu um toque driblou o goleiro

Só não entrou com bola e tudo

Porque teve humildade em gol



Foi um gol de classe

Onde ele mostrou sua malícia e sua raça



Foi um gol de anjo, um verdadeiro gol de placa

E a magnética agradecida assim cantava



Foi um gol de anjo, um verdadeiro gol de placa

E a magnética agradecida assim cantava



Filho maravilha, nós gostamos de você

Filho maravilha, faz mais um pra gente vê



Filho maravilha, nós gostamos de você

Filho maravilha, faz mais um pra gente vê



Filho Maravilha!",MPB
Iza,Dona De Mim,"Já me perdi tentando me encontrar
Já fui embora querendo nem voltar
Penso duas vezes antes de falar
Porque a vida é louca, mano, a vida é louca
Sempre fiquei quieta, agora vou falar

Se você tem boca, aprende a usar

Sei do meu valor, e a cotação é dólar

Porque a vida é louca, mano, a vida é louca



Me perdi pelo caminho

Mas não paro, não

Já chorei mares e rios

Mas não afogo, não



Sempre dou o meu jeitinho

É bruto, mas é com carinho

Porque Deus me fez assim

Dona de mim



Deixo a minha fé guiar

Sei que um dia chego lá

Porque Deus me fez assim

Dona de mim



Já não me importa a sua opinião 

O seu conceito não altera minha visão

Foi tanto sim, que agora digo não

Porque a vida é louca, mano, a vida é louca



Quero saber só do que me faz bem

Papo furado não me entretém

Não me limite que eu quero ir além

Porque a vida é louca, mano, a vida é louca



Me perdi pelo caminho

Mas não paro, não

Já chorei mares e rios

Mas não afogo, não



Sempre dou o meu jeitinho

É bruto, mas é com carinho

Porque Deus me fez assim

Dona de mim



Deixo a minha fé guiar

Sei que um dia chego lá

Porque Deus me fez assim

Dona de mim",R&B
Ivete Sangalo,O Mundo Vai,"Oxente!
Música do Carnaval!
Ó, o que tá rolando aí?
É o Carnaval que tá chegando, viu?
Todo mundo mundo vai

Todo mundo mundo vai

Todo mundo mundo

Todo mundo vai vai



Traga todo mundo

Chama o povo de casa

As amiga mais louca

Chama a rapaziada

Todo mundo na rua

De cabeça virada

De roupa colorida

Com a alma lavada



Bota lá no grupo que o couro tá comendo

E quando ela passa todo mundo vai atrás

Todo mundo mundo vai

Todo mundo mundo vai

Todo mundo mundo vai



Desce uma dose de beijo

Deixa minha boca molhada

O amor tá fazendo piseiro

Ferve no meu fevereiro

Dona do meu coração

Essa é pra trincar o concreto do chão

Desce uma dose de beijo

Deixa minha boca molhada

O amor tá fazendo piseiro

Ferve no meu fevereiro

Dona do meu coração

Essa é pra trincar o concreto do chão



Aê, aê, aê, aê

Venha ver, venha ver

Aê, aê

Aê, aê, aê, aê

Venha ver, venha ver

Aê, aê



Traga todo mundo

Chama o povo de casa

As amiga mais louca

Chama a rapaziada

Todo mundo na rua

De cabeça virada

De roupa colorida

Com a alma lavada



Bota lá no grupo que o couro tá comendo

E quando ela passa todo mundo vai atrás

Todo mundo mundo vai

Todo mundo mundo vai

Todo mundo mundo vai



Desce uma dose de beijo

Deixa minha boca molhada

O amor tá fazendo piseiro

Ferve no meu fevereiro

Dona do meu coração

Essa é pra trincar o concreto do chão

Desce uma dose de beijo

Deixa minha boca molhada

O amor tá fazendo piseiro

Ferve no meu fevereiro

Dona do meu coração

Essa é pra trincar o concreto do chão



Aê, aê, aê, aê

Venha ver, venha ver

Aê, aê

Aê, aê, aê, aê

Venha ver, venha ver

Aê, aê

Aê, aê, aê, aê

Venha ver, venha ver

Aê, aê

Aê, aê, aê, aê

Venha ver, venha ver

Aê, aê



Todo mundo mundo vai

Todo mundo mundo vai

Todo mundo mundo

Todo mundo

Todo mundo vai



Desce uma dose de beijo

Deixa minha boca molhada

O amor tá fazendo piseiro

Ferve no meu fevereiro

Dona do meu coração

Essa é pra trincar o concreto do chão

Desce uma dose de beijo

Deixa minha boca molhada

O amor tá fazendo piseiro

Ferve no meu fevereiro

Dona do meu coração

Essa é pra trincar o concreto do chão



Aê, aê, aê, aê

Venha ver, venha ver

Aê, aê

Aê, aê, aê, aê

Venha ver, venha ver

Aê, aê

Aê, aê, aê, aê

Venha ver, venha ver

Aê, aê

Aê, aê, aê, aê

Venha ver, venha ver

Aê, aê



Todo mundo mundo vai

Todo mundo mundo vai

Todo mundo mundo

Todo mundo

Todo mundo vai

Música do Carnaval!

Ai que gostoso



Todo mundo mundo vai

Todo mundo mundo vai

Todo mundo mundo

Todo mundo

Todo mundo vai",axé/pop
